Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Danilo Barbosa,br BRA,DF,25.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,nice
Marcin Bułka,pl POL,GK,21.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,nice
Alexis Claude-Maurice,fr FRA,MF,23.0,10,0,209.0,2.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,1.2,1.6,5.0,7.0,13.0,0.0,0.86,0.86,0.0,0.86,0.17,0.53,0.7,0.17,0.7,Matches,nice
Myziane Maolida,fr FRA,MF,22.0,1,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,nice
Robson Bambu,br BRA,DF,23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,nice
Teddy Boulhendi,fr FRA,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,nice
Antoine Mendy,fr FRA,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,nice
Yannis Nahounou,fr FRA,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,nice
Justin Smith,ca CAN,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,nice
Gerzino Nyamsi,fr FRA,DF,24.0,34,33,2984.0,33.2,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,2.1,2.1,1.1,3.2,11.0,72.0,5.0,0.0,0.06,0.06,0.0,0.06,0.06,0.03,0.1,0.06,0.1,Matches,strasbourg
Ludovic Ajorque,fr FRA,FW,27.0,36,31,2738.0,30.4,12.0,8.0,20.0,9.0,3.0,3.0,5.0,1.0,10.6,8.3,7.0,15.3,21.0,69.0,217.0,0.39,0.26,0.66,0.3,0.56,0.35,0.23,0.58,0.27,0.5,Matches,strasbourg
Alexander Djiku,gh GHA,DF,26.0,31,30,2694.0,29.9,1.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,2.1,2.1,0.6,2.8,15.0,156.0,3.0,0.03,0.0,0.03,0.03,0.03,0.07,0.02,0.09,0.07,0.09,Matches,strasbourg
Lucas Perrin,fr FRA,DF,22.0,31,29,2502.0,27.8,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.4,0.4,0.6,1.0,33.0,148.0,12.0,0.04,0.04,0.07,0.04,0.07,0.01,0.02,0.03,0.01,0.03,Matches,strasbourg
Frederic Guilbert,fr FRA,DF,26.0,33,28,2516.0,28.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,3.8,4.7,54.0,110.0,167.0,0.0,0.14,0.14,0.0,0.14,0.03,0.14,0.17,0.03,0.17,Matches,strasbourg
Kévin Gameiro,fr FRA,FW,34.0,35,28,2385.0,26.5,11.0,3.0,14.0,10.0,1.0,3.0,0.0,0.0,13.3,10.9,3.0,13.9,69.0,62.0,225.0,0.42,0.11,0.53,0.38,0.49,0.5,0.11,0.62,0.41,0.53,Matches,strasbourg
Adrien Thomasson,fr FRA,MF,27.0,31,27,2389.0,26.5,8.0,4.0,12.0,8.0,0.0,0.0,2.0,1.0,6.2,6.2,3.3,9.5,43.0,151.0,167.0,0.3,0.15,0.45,0.3,0.45,0.23,0.13,0.36,0.23,0.36,Matches,strasbourg
Sanjin Prcić,ba BIH,MF,27.0,32,27,2186.0,24.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.5,1.5,1.7,3.2,19.0,163.0,18.0,0.04,0.0,0.04,0.04,0.04,0.06,0.07,0.13,0.06,0.13,Matches,strasbourg
Anthony Caci,fr FRA,DF,24.0,37,26,2395.0,26.6,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,4.0,4.9,65.0,174.0,113.0,0.04,0.11,0.15,0.04,0.15,0.03,0.15,0.18,0.03,0.18,Matches,strasbourg
