Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Roberto González,es ESP,"FW,MF",20.0,1.5,0,0,0,2,3,0,1,1,4,0.0,0.0,0,2.0,1.0,1.0,50.0,Matches,real betis
Kike Hermoso,es ESP,DF,21.0,1.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,5.0,6.0,2.0,75.0,Matches,real betis
Víctor Camarasa,es ESP,"MF,FW",27.0,1.2,0,0,0,2,3,0,0,2,1,0.0,0.0,0,6.0,2.0,1.0,66.7,Matches,real betis
Calderón,es ESP,DF,21.0,0.7,0,0,0,1,1,0,4,0,0,0.0,0.0,0,6.0,0.0,2.0,0.0,Matches,real betis
Loren Morón,es ESP,FW,27.0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,1.0,0.0,0.0,,Matches,real betis
Álex Remiro,es ESP,GK,26.0,35.0,1,0,0,0,3,0,0,1,0,0.0,0.0,0,51.0,4.0,0.0,100.0,Matches,real sociedad
Mikel Merino,es ESP,MF,25.0,32.1,8,0,0,60,67,4,23,21,38,2.0,1.0,0,287.0,109.0,83.0,56.8,Matches,real sociedad
Martín Zubimendi,es ESP,MF,22.0,28.8,4,0,0,34,21,3,2,49,25,0.0,0.0,0,139.0,63.0,24.0,72.4,Matches,real sociedad
Alexander Isak,se SWE,FW,21.0,23.8,6,0,0,32,30,15,17,3,4,0.0,0.0,0,56.0,28.0,34.0,45.2,Matches,real sociedad
Andoni Gorosabel,es ESP,DF,24.0,25.4,4,0,0,27,18,0,63,18,31,0.0,0.0,0,137.0,22.0,30.0,42.3,Matches,real sociedad
Aritz Elustondo,es ESP,DF,27.0,23.4,3,1,0,18,22,2,5,29,14,0.0,1.0,0,123.0,54.0,23.0,70.1,Matches,real sociedad
David Silva,es ESP,MF,35.0,19.1,4,1,0,23,25,3,30,7,17,2.0,1.0,0,91.0,15.0,11.0,57.7,Matches,real sociedad
Alexander Sørloth,no NOR,FW,25.0,19.6,2,0,0,29,14,12,9,4,7,2.0,0.0,0,61.0,51.0,49.0,51.0,Matches,real sociedad
Mikel Oyarzabal,es ESP,"FW,MF",24.0,18.6,0,1,0,14,26,5,110,10,10,0.0,0.0,0,86.0,22.0,35.0,38.6,Matches,real sociedad
Igor Zubeldia,es ESP,DF,24.0,18.3,7,0,0,25,4,1,4,27,10,0.0,1.0,0,90.0,41.0,34.0,54.7,Matches,real sociedad
Diego Rico,es ESP,DF,28.0,18.3,4,0,0,16,17,4,57,30,20,0.0,1.0,0,111.0,26.0,13.0,66.7,Matches,real sociedad
Adnan Januzaj,be BEL,"FW,MF",26.0,18.1,5,0,0,28,51,4,146,12,11,1.0,0.0,0,93.0,10.0,19.0,34.5,Matches,real sociedad
Portu,es ESP,"FW,MF",29.0,17.7,5,0,0,19,25,11,35,7,7,1.0,0.0,0,62.0,14.0,37.0,27.5,Matches,real sociedad
Aihen Muñoz,es ESP,DF,23.0,14.9,4,1,1,27,14,0,39,17,17,0.0,0.0,0,80.0,25.0,22.0,53.2,Matches,real sociedad
Joseba Zaldúa,es ESP,DF,29.0,13.0,6,0,0,18,20,1,33,13,22,0.0,0.0,0,53.0,17.0,23.0,42.5,Matches,real sociedad
Rafinha,br BRA,MF,28.0,11.7,3,0,0,21,38,0,21,12,27,0.0,0.0,0,90.0,13.0,15.0,46.4,Matches,real sociedad
Ander Guevara,es ESP,MF,24.0,9.6,2,0,0,15,5,0,0,12,13,0.0,1.0,0,66.0,15.0,22.0,40.5,Matches,real sociedad
Ander Barrenetxea,es ESP,"FW,MF",19.0,6.1,0,0,0,10,16,1,8,2,10,0.0,0.0,0,39.0,4.0,4.0,50.0,Matches,real sociedad
Asier Illarramendi,es ESP,MF,31.0,4.2,1,0,0,4,1,0,5,4,5,0.0,0.0,0,37.0,12.0,7.0,63.2,Matches,real sociedad
Jon Pacheco,es ESP,DF,20.0,4.2,1,0,0,3,1,0,0,6,4,0.0,0.0,0,18.0,12.0,11.0,52.2,Matches,real sociedad
Mathew Ryan,au AUS,GK,29.0,3.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,1.0,0.0,100.0,Matches,real sociedad
Roberto Navarro,es ESP,"MF,FW",19.0,2.2,0,0,0,3,2,1,2,2,3,0.0,0.0,0,15.0,1.0,6.0,14.3,Matches,real sociedad
