Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
David Carmo,pt POR,DF,22.0,11.0,3.0,1.0,0.0,9.0,2.0,1.0,1.0,13.0,4.0,0.0,0.0,1.0,67.0,30.0,17.0,63.8,Matches,braga
Galeno,br BRA,"MF,DF",23.0,10.6,2.0,0.0,0.0,15.0,30.0,3.0,23.0,9.0,14.0,1.0,0.0,0.0,51.0,11.0,12.0,47.8,Matches,braga
Rodrigo Gomes,pt POR,"MF,DF",18.0,8.2,0.0,0.0,0.0,6.0,10.0,5.0,10.0,6.0,7.0,0.0,0.0,0.0,36.0,3.0,13.0,18.8,Matches,braga
Bruno Rodrigues,pt POR,DF,20.0,6.4,2.0,1.0,0.0,9.0,1.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,43.0,16.0,23.0,41.0,Matches,braga
Raul Silva,br BRA,DF,31.0,5.7,4.0,0.0,0.0,9.0,5.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,37.0,17.0,9.0,65.4,Matches,braga
Nuno Sequeira,pt POR,DF,30.0,4.9,2.0,0.0,0.0,5.0,6.0,1.0,21.0,8.0,4.0,0.0,0.0,0.0,44.0,7.0,1.0,87.5,Matches,braga
Mario González,es ESP,FW,25.0,6.2,0.0,0.0,0.0,3.0,14.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,50.0,Matches,braga
Fábio Martins,pt POR,"MF,FW",28.0,4.6,1.0,0.0,0.0,11.0,13.0,1.0,20.0,2.0,3.0,0.0,0.0,0.0,21.0,1.0,3.0,25.0,Matches,braga
Lucas Mineiro,br BRA,MF,25.0,6.2,5.0,1.0,1.0,17.0,18.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,30.0,16.0,13.0,55.2,Matches,braga
Lucas Piazon,br BRA,"MF,FW",27.0,4.0,2.0,0.0,0.0,7.0,4.0,0.0,6.0,1.0,4.0,0.0,0.0,0.0,11.0,3.0,6.0,33.3,Matches,braga
Miguel Falé,pt POR,"FW,MF",17.0,2.8,0.0,0.0,0.0,8.0,2.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,17.0,2.0,8.0,20.0,Matches,braga
Chiquinho,pt POR,"MF,FW",26.0,2.3,0.0,0.0,0.0,3.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,3.0,25.0,Matches,braga
