Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Karol Fila,pl POL,DF,23.0,6.2,3,0,0,8,9,0,24,4,8,0.0,0.0,0,32.0,7.0,7.0,50.0,Matches,strasbourg
Abdul Majeed Waris,gh GHA,"FW,MF",29.0,3.6,1,0,0,5,14,1,7,0,3,0.0,0.0,0,17.0,2.0,5.0,28.6,Matches,strasbourg
Mouhamadou Diarra,sn SEN,MF,17.0,1.2,1,0,0,2,1,0,0,0,1,0.0,0.0,0,8.0,2.0,1.0,66.7,Matches,strasbourg
Eiji Kawashima,jp JPN,GK,38.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,strasbourg
Dion Moise Sahi,ci CIV,"FW,MF",19.0,1.4,0,0,0,1,4,0,1,1,0,0.0,0.0,0,7.0,1.0,4.0,20.0,Matches,strasbourg
Nordine Kandil,fr FRA,"MF,FW",19.0,1.0,1,0,0,1,2,0,7,0,1,0.0,0.0,0,9.0,1.0,1.0,50.0,Matches,strasbourg
Ismaël Doukouré,fr FRA,DF,18.0,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,4.0,0.0,Matches,strasbourg
Mahame Siby,ml MLI,DF,25.0,0.2,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0.0,2.0,0.0,100.0,Matches,strasbourg
Mehdi Chahiri,ma MAR,DF,25.0,0.2,0,0,0,0,0,0,0,0,1,0.0,0.0,0,2.0,1.0,0.0,100.0,Matches,strasbourg
Jonathan Gradit,fr FRA,DF,28.0,34.1,7,0,0,41,37,0,10,65,28,0.0,0.0,0,221.0,47.0,52.0,47.5,Matches,lens
Jonathan Clauss,fr FRA,DF,28.0,33.8,3,0,0,38,14,4,348,73,34,0.0,0.0,0,203.0,16.0,10.0,61.5,Matches,lens
Cheick Doucouré,ml MLI,MF,21.0,32.7,7,1,0,42,24,0,6,68,43,0.0,0.0,0,218.0,22.0,20.0,52.4,Matches,lens
Kevin Danso,at AUT,DF,22.0,31.0,9,2,1,43,36,1,1,40,29,1.0,0.0,0,206.0,72.0,30.0,70.6,Matches,lens
Facundo Medina,ar ARG,DF,22.0,28.8,11,0,0,36,11,0,5,37,42,0.0,2.0,0,224.0,37.0,34.0,52.1,Matches,lens
Florian Sotoca,fr FRA,"FW,MF",30.0,27.6,7,0,0,37,34,8,48,25,19,0.0,0.0,0,116.0,89.0,48.0,65.0,Matches,lens
Przemysław Frankowski,pl POL,DF,26.0,27.2,5,0,0,36,9,2,71,28,39,0.0,1.0,0,130.0,12.0,11.0,52.2,Matches,lens
Jean-Louis Leca,fr FRA,GK,35.0,25.7,3,1,0,2,3,0,0,1,0,0.0,1.0,0,31.0,4.0,1.0,80.0,Matches,lens
Arnaud Kalimuendo,fr FRA,FW,19.0,23.9,1,1,0,13,32,14,17,8,8,0.0,0.0,0,51.0,4.0,26.0,13.3,Matches,lens
