Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Denzel Dumfries,nl NED,DF,27-053,34,25,2218.0,24.6,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,3.6,3.6,4.9,8.5,62.0,59.0,172.0,0.04,0.16,0.2,0.04,0.2,0.15,0.2,0.35,0.15,0.35,Matches,internazionale
André Onana,cm CMR,GK,27-069,24,24,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,internazionale
Matteo Darmian,it ITA,DF,33-190,31,24,2025.0,22.5,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.9,2.9,22.0,88.0,96.0,0.04,0.09,0.13,0.04,0.13,0.04,0.09,0.13,0.04,0.13,Matches,internazionale
Henrikh Mkhitaryan,am ARM,MF,34-140,31,24,1986.0,22.1,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,2.8,2.8,2.1,4.9,48.0,133.0,74.0,0.14,0.09,0.23,0.14,0.23,0.13,0.1,0.22,0.13,0.22,Matches,internazionale
Stefan de Vrij,nl NED,DF,31-125,27,22,1945.0,21.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.2,2.2,0.2,2.4,13.0,55.0,0.0,0.05,0.0,0.05,0.05,0.05,0.1,0.01,0.11,0.1,0.11,Matches,internazionale
Milan Škriniar,sk SVK,DF,28-119,21,20,1769.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.8,0.8,0.3,1.1,16.0,81.0,10.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,internazionale
Marcelo Brozović,hr CRO,MF,30-206,28,19,1771.0,19.7,3.0,5.0,8.0,3.0,0.0,0.0,8.0,0.0,2.5,2.5,2.8,5.3,29.0,114.0,35.0,0.15,0.25,0.41,0.15,0.41,0.13,0.14,0.27,0.13,0.27,Matches,internazionale
Romelu Lukaku,be BEL,FW,30-028,25,19,1661.0,18.5,10.0,6.0,16.0,8.0,2.0,2.0,1.0,0.0,9.0,7.4,4.1,11.5,34.0,41.0,159.0,0.54,0.33,0.87,0.43,0.76,0.49,0.22,0.71,0.4,0.62,Matches,internazionale
Edin Džeko,ba BIH,FW,37-085,33,18,1731.0,19.2,9.0,3.0,12.0,9.0,0.0,0.0,3.0,0.0,9.7,9.7,3.2,13.0,32.0,67.0,150.0,0.47,0.16,0.62,0.47,0.62,0.5,0.17,0.67,0.5,0.67,Matches,internazionale
Samir Handanović,si SVN,GK,38-331,14,14,1234.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,internazionale
Joaquín Correa,ar ARG,FW,28-301,26,12,950.0,10.6,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,3.4,3.4,1.3,4.7,19.0,29.0,61.0,0.28,0.09,0.38,0.28,0.38,0.33,0.12,0.45,0.33,0.45,Matches,internazionale
Robin Gosens,de GER,DF,28-340,32,11,1184.0,13.2,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,3.0,3.0,2.4,5.3,29.0,41.0,102.0,0.23,0.0,0.23,0.23,0.23,0.23,0.18,0.41,0.23,0.41,Matches,internazionale
Danilo D'Ambrosio,it ITA,DF,34-274,15,8,733.0,8.1,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.3,0.3,0.7,0.9,8.0,34.0,17.0,0.0,0.25,0.25,0.0,0.25,0.03,0.08,0.11,0.03,0.11,Matches,internazionale
Roberto Gagliardini,it ITA,MF,29-064,19,7,784.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.9,0.9,0.3,1.1,20.0,39.0,22.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.13,0.1,0.13,Matches,internazionale
Kristjan Asllani,al ALB,MF,21-093,20,5,589.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.9,1.5,6.0,29.0,6.0,0.0,0.0,0.0,0.0,0.0,0.08,0.14,0.22,0.08,0.22,Matches,internazionale
Raoul Bellanova,it ITA,DF,23-024,18,3,496.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,1.0,25.0,12.0,37.0,0.0,0.0,0.0,0.0,0.0,0.12,0.07,0.19,0.12,0.19,Matches,internazionale
Mattia Zanotti,it ITA,DF,20-150,2,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches,internazionale
Alex Cordaz,it ITA,GK,40-160,1,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,internazionale
